@relation .//99.1x1.arff

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
2268558,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0
2268561,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268562,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268570,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2268571,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2268573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268576,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
2268578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268580,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0
2268583,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2268584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268588,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2268594,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0
2268595,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2268599,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268609,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0
2268612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268614,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0
2268615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2268624,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0
2268626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2268628,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5,0
2268630,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1
2268633,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0
2268635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268637,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2268638,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0
2268640,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
2268641,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
2268643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
