@relation .//99.1x1.arff-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
2372027,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,0
2409783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2325718,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2356572,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0
2352856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2443226,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2269886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2326064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2445733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2281307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2318473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2480628,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0
2382538,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0
2271283,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
2291276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2422301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2469395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2331734,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0
2454867,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2334334,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0
2442612,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2446321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
2307813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2289484,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
2274118,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2363174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2282903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2361040,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4,0
2338673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
2298250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
