@relation 102.mobility-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute class {0,1}

@data
578972,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
585157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
585339,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
577428,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
586176,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
577638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577802,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
577143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
583469,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
576632,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
583390,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
